State	Class_1	Class_2	Class_3
AL	False	True	True
AK	False	True	True
AZ	True	False	True
AR	False	True	True
CA	True	False	True
CO	False	True	True
CT	True	False	True
DE	True	True	False
FL	True	False	True
GA	False	True	True
HI	True	False	True
ID	False	True	True
IL	False	True	True
IN	True	False	True
IA	False	True	True
KS	False	True	True
KY	False	True	True
LA	False	True	True
ME	True	True	False
MD	True	False	True
MA	True	True	False
MI	True	True	False
MN	True	True	False
MS	True	True	False
MO	True	False	True
MT	True	True	False
NE	True	True	False
NV	True	False	True
NH	False	True	True
NJ	True	True	False
NM	True	True	False
NY	True	False	True
NC	False	True	True
ND	True	False	True
OH	True	False	True
OK	False	True	True
OR	False	True	True
PA	True	False	True
RI	True	True	False
SC	False	True	True
SD	False	True	True
TN	True	True	False
TX	True	True	False
UT	True	False	True
VT	True	False	True
VA	True	True	False
WA	True	False	True
WV	True	True	False
WI	True	False	True
WY	True	True	False
